xpoints,vpoints,tpoints
1.000000,0.000000,0.000000
0.995004,-0.099833,0.100000
0.980067,-0.198669,0.200000
0.955337,-0.295520,0.300000
0.921061,-0.389418,0.400000
0.877583,-0.479425,0.500000
0.825336,-0.564642,0.600000
0.764843,-0.644217,0.700000
0.696707,-0.717356,0.800000
0.621611,-0.783326,0.900000
0.540303,-0.841470,1.000000
0.453597,-0.891207,1.100000
0.362359,-0.932039,1.200000
0.267500,-0.963558,1.300000
0.169968,-0.985449,1.400000
0.070738,-0.997495,1.500000
-0.029198,-0.999574,1.600000
-0.128843,-0.991665,1.700000
-0.227201,-0.973848,1.800000
-0.323288,-0.946300,1.900000
-0.416145,-0.909298,2.000000
-0.504845,-0.863210,2.100000
-0.588500,-0.808497,2.200000
-0.666274,-0.745706,2.300000
-0.737392,-0.675465,2.400000
-0.801142,-0.598474,2.500000
-0.856887,-0.515503,2.600000
-0.904071,-0.427382,2.700000
-0.942221,-0.334990,2.800000
-0.970957,-0.239252,2.900000
-0.989992,-0.141122,3.000000
-0.999135,-0.041583,3.100000
-0.998295,0.058371,3.200000
-0.987480,0.157743,3.300000
-0.966799,0.255538,3.400000
-0.936457,0.350780,3.500000
-0.896760,0.442518,3.600000
-0.848101,0.529833,3.700000
-0.790969,0.611855,3.800000
-0.725934,0.687764,3.900000
-0.653646,0.756800,4.000000
-0.574827,0.818275,4.100000
-0.490264,0.871574,4.200000
-0.400802,0.916164,4.300000
-0.307336,0.951601,4.400000
-0.210799,0.977529,4.500000
-0.112156,0.993690,4.600000
-0.012393,0.999923,4.700000
0.087495,0.996165,4.800000
0.186508,0.982453,4.900000
0.283658,0.958925,5.000000
0.377974,0.925816,5.100000
0.468513,0.883456,5.200000
0.554370,0.832270,5.300000
0.634689,0.772767,5.400000
0.708666,0.705543,5.500000
0.775563,0.631270,5.600000
0.834710,0.550689,5.700000
0.885517,0.464606,5.800000
0.927476,0.373881,5.900000
0.960168,0.279420,6.000000
0.983267,0.182167,6.100000
0.996541,0.083094,6.200000
0.999858,-0.016809,6.300000
0.993185,-0.116544,6.400000
