xpoints,vpoints,tpoints
2.000000,0.000000,0.000000
1.990008,-0.199667,0.100000
1.960133,-0.397338,0.200000
1.910673,-0.591040,0.300000
1.842122,-0.778836,0.400000
1.755165,-0.958850,0.500000
1.650672,-1.129284,0.600000
1.529685,-1.288434,0.700000
1.393414,-1.434711,0.800000
1.243221,-1.566653,0.900000
1.080606,-1.682941,1.000000
0.907194,-1.782414,1.100000
0.724717,-1.864077,1.200000
0.535000,-1.927116,1.300000
0.339937,-1.970899,1.400000
0.141477,-1.994990,1.500000
-0.058396,-1.999147,1.600000
-0.257686,-1.983330,1.700000
-0.454401,-1.947696,1.800000
-0.646576,-1.892601,1.900000
-0.832291,-1.818596,2.000000
-1.009689,-1.726420,2.100000
-1.176999,-1.616995,2.200000
-1.332549,-1.491413,2.300000
-1.474784,-1.350929,2.400000
-1.602284,-1.196947,2.500000
-1.713775,-1.031006,2.600000
-1.808142,-0.854764,2.700000
-1.884443,-0.669981,2.800000
-1.941915,-0.478503,2.900000
-1.979984,-0.282245,3.000000
-1.998270,-0.083166,3.100000
-1.996589,0.116743,3.200000
-1.974960,0.315486,3.300000
-1.933597,0.511077,3.400000
-1.872915,0.701561,3.500000
-1.793519,0.885035,3.600000
-1.696203,1.059667,3.700000
-1.581939,1.223710,3.800000
-1.451869,1.375527,3.900000
-1.307292,1.513600,4.000000
-1.149653,1.636550,4.100000
-0.980527,1.743148,4.200000
-0.801605,1.832328,4.300000
-0.614673,1.903201,4.400000
-0.421599,1.955058,4.500000
-0.224313,1.987381,4.600000
-0.024785,1.999846,4.700000
0.174990,1.992329,4.800000
0.373017,1.964906,4.900000
0.567316,1.917850,5.000000
0.755947,1.851632,5.100000
0.937025,1.766913,5.200000
1.108741,1.664539,5.300000
1.269378,1.545534,5.400000
1.417333,1.411087,5.500000
1.551125,1.262540,5.600000
1.669420,1.101379,5.700000
1.771034,0.929213,5.800000
1.854952,0.747762,5.900000
1.920337,0.558840,6.000000
1.966534,0.364335,6.100000
1.993082,0.166189,6.200000
1.999717,-0.033617,6.300000
1.986370,-0.233088,6.400000
1.953177,-0.430229,6.500000
1.900468,-0.623072,6.600000
1.828770,-0.809689,6.700000
1.738800,-0.988216,6.800000
1.631456,-1.156870,6.900000
1.507811,-1.313964,7.000000
1.369101,-1.457929,7.100000
1.216712,-1.587328,7.200000
1.052165,-1.700866,7.300000
0.877105,-1.797410,7.400000
0.693282,-1.875995,7.500000
0.502532,-1.935835,7.600000
0.306760,-1.976333,7.700000
0.107924,-1.997085,7.800000
-0.091991,-1.997882,7.900000
-0.290987,-1.978717,8.000000
-0.487075,-1.939782,8.100000
-0.678297,-1.881465,8.200000
-0.862741,-1.804349,8.300000
-1.038565,-1.709204,8.400000
-1.204012,-1.596982,8.500000
-1.357429,-1.468803,8.600000
-1.497283,-1.325948,8.700000
-1.622176,-1.169846,8.800000
-1.730862,-1.002054,8.900000
-1.822253,-0.824250,9.000000
-1.895437,-0.638211,9.100000
-1.949683,-0.445794,9.200000
-1.984447,-0.248924,9.300000
-1.999384,-0.049566,9.400000
-1.994344,0.150286,9.500000
-1.969377,0.348638,9.600000
-1.924733,0.543505,9.700000
-1.860857,0.732943,9.800000
-1.778389,0.915057,9.900000
-1.678151,1.088028,10.000000
-1.561146,1.250127,10.100000
-1.428542,1.399736,10.200000
-1.281665,1.535360,10.300000
-1.121982,1.655642,10.400000
-0.951089,1.759382,10.500000
-0.770692,1.845543,10.600000
-0.582595,1.913263,10.700000
-0.388677,1.961868,10.800000
-0.190876,1.990869,10.900000
0.008833,1.999979,11.000000
0.208454,1.989106,11.100000
0.405991,1.958358,11.200000
0.599472,1.908043,11.300000
0.786964,1.838663,11.400000
0.966592,1.750912,11.500000
1.136562,1.645667,11.600000
1.295177,1.523979,11.700000
1.440850,1.387063,11.800000
1.572127,1.236289,11.900000
1.687696,1.073162,12.000000
1.786402,0.899312,12.100000
1.867258,0.716477,12.200000
1.929458,0.526483,12.300000
1.972379,0.331228,12.400000
1.995593,0.132664,12.500000
1.998868,-0.067225,12.600000
1.982171,-0.266443,12.700000
1.945668,-0.462999,12.800000
1.889725,-0.654928,12.900000
1.814901,-0.840314,13.000000
1.721943,-1.017303,13.100000
1.611779,-1.184128,13.200000
1.485512,-1.339122,13.300000
1.344401,-1.480735,13.400000
1.189858,-1.607554,13.500000
1.023426,-1.718310,13.600000
0.846769,-1.811898,13.700000
0.661651,-1.887382,13.800000
0.469922,-1.944008,13.900000
0.273497,-1.981210,14.000000
0.074340,-1.998616,14.100000
-0.125560,-1.996053,14.200000
-0.324205,-1.973546,14.300000
-0.519611,-1.931320,14.400000
-0.709825,-1.869797,14.500000
-0.892947,-1.789591,14.600000
-1.067147,-1.691505,14.700000
-1.230684,-1.576518,14.800000
-1.381925,-1.445778,14.900000
-1.519358,-1.300593,15.000000
-1.641610,-1.142413,15.100000
-1.747460,-0.972818,15.200000
-1.835850,-0.793504,15.300000
-1.905896,-0.606260,15.400000
-1.956900,-0.412960,15.500000
-1.988350,-0.215533,15.600000
-1.999934,-0.015952,15.700000
-1.991535,0.183787,15.800000
-1.963238,0.381691,15.900000
-1.915324,0.575781,16.000000
-1.848274,0.764117,16.100000
-1.762756,0.944819,16.200000
-1.659625,1.116081,16.300000
-1.539912,1.276191,16.400000
-1.404812,1.423550,16.500000
-1.255676,1.556685,16.600000
-1.093994,1.674266,16.700000
-0.921381,1.775119,16.800000
-0.739562,1.858235,16.900000
-0.550353,1.922785,17.000000
-0.355646,1.968123,17.100000
-0.157385,1.993796,17.200000
0.042449,1.999547,17.300000
0.241858,1.985320,17.400000
0.438851,1.951256,17.500000
0.631459,1.897696,17.600000
0.817758,1.825175,17.700000
0.995886,1.734417,17.800000
1.164063,1.626330,17.900000
1.320609,1.501992,18.000000
1.463961,1.362648,18.100000
1.592685,1.209688,18.200000
1.705495,1.044642,18.300000
1.801265,0.869158,18.400000
1.879037,0.684989,18.500000
1.938034,0.493977,18.600000
1.977667,0.298028,18.700000
1.997541,0.099102,18.800000
1.997455,-0.100814,18.900000
1.977411,-0.299723,19.000000
1.937610,-0.495637,19.100000
1.878449,-0.686599,19.200000
1.800519,-0.870701,19.300000
1.704599,-1.046103,19.400000
1.591647,-1.211052,19.500000
1.462792,-1.363902,19.600000
1.319322,-1.503123,19.700000
1.162669,-1.627326,19.800000
0.994399,-1.735269,19.900000
0.816193,-1.825874,20.000000
0.629833,-1.898236,20.100000
0.437179,-1.951631,20.200000
0.240157,-1.985526,20.300000
0.040736,-1.999582,20.400000
-0.159093,-1.993659,20.500000
-0.357332,-1.967817,20.600000
-0.552000,-1.922312,20.700000
-0.741153,-1.857601,20.800000
-0.922901,-1.774329,20.900000
-1.095428,-1.673328,21.000000
-1.257009,-1.555608,21.100000
-1.406031,-1.422345,21.200000
-1.541004,-1.274871,21.300000
-1.660580,-1.114658,21.400000
-1.763564,-0.943308,21.500000
-1.848927,-0.762533,21.600000
-1.915816,-0.574139,21.700000
-1.963563,-0.380008,21.800000
-1.991691,-0.182081,21.900000
-1.999919,0.017666,22.000000
-1.988164,0.217236,22.100000
-1.956544,0.414636,22.200000
-1.905375,0.607893,22.300000
-1.835168,0.795076,22.400000
-1.746625,0.974315,22.500000
-1.640630,1.143819,22.600000
-1.518242,1.301894,22.700000
-1.380685,1.446961,22.800000
-1.229332,1.577571,22.900000
-1.065697,1.692418,23.000000
-0.891413,1.790355,23.100000
-0.708222,1.870403,23.200000
-0.517956,1.931763,23.300000
-0.322514,1.973822,23.400000
-0.123849,1.996158,23.500000
0.076053,1.998550,23.600000
0.275195,1.980973,23.700000
0.471587,1.943603,23.800000
0.663267,1.886813,23.900000
0.848321,1.811171,24.000000
1.024898,1.717432,24.100000
1.191234,1.606533,24.200000
1.345669,1.479582,24.300000
1.486658,1.337847,24.400000
1.612792,1.182746,24.500000
1.722812,1.015827,24.600000
1.815619,0.838758,24.700000
1.890284,0.653308,24.800000
1.946063,0.461331,24.900000
1.982397,0.264744,25.000000
1.998923,0.065512,25.100000
1.995477,-0.134374,25.200000
