xpoints,vpoints,tpoints
1.000000,0.000000,0.000000
0.999200,-0.039968,0.040000
0.996805,-0.079745,0.080000
0.992826,-0.119142,0.120000
0.987281,-0.157975,0.160000
0.980198,-0.196071,0.200000
0.971608,-0.233263,0.240000
0.961551,-0.269400,0.280000
0.950072,-0.304342,0.320000
0.937221,-0.337967,0.360000
0.923053,-0.370168,0.400000
0.907628,-0.400858,0.440000
0.891006,-0.429963,0.480000
0.873252,-0.457432,0.520000
0.854434,-0.483227,0.560000
0.834617,-0.507331,0.600000
0.813870,-0.529739,0.640000
0.792260,-0.550465,0.680000
0.769855,-0.569533,0.720000
0.746719,-0.586981,0.760000
0.722917,-0.602860,0.800000
0.698510,-0.617227,0.840000
0.673558,-0.630148,0.880000
0.648117,-0.641698,0.920000
0.622240,-0.651955,0.960000
0.595977,-0.661000,1.000000
0.569375,-0.668918,1.040000
0.542477,-0.675795,1.080000
0.515324,-0.681718,1.120000
0.487951,-0.686771,1.160000
0.460393,-0.691040,1.200000
0.432677,-0.694605,1.240000
0.404832,-0.697546,1.280000
0.376881,-0.699937,1.320000
0.348844,-0.701851,1.360000
0.320738,-0.703355,1.400000
0.292580,-0.704511,1.440000
0.264381,-0.705377,1.480000
0.236153,-0.706006,1.520000
0.207903,-0.706446,1.560000
0.179639,-0.706738,1.600000
0.151366,-0.706921,1.640000
0.123087,-0.707026,1.680000
0.094804,-0.707078,1.720000
0.066521,-0.707100,1.760000
0.038237,-0.707106,1.800000
0.009952,-0.707107,1.840000
-0.018332,-0.707107,1.880000
-0.046616,-0.707105,1.920000
-0.074900,-0.707096,1.960000
-0.103184,-0.707067,2.000000
-0.131465,-0.707001,2.040000
-0.159743,-0.706877,2.080000
-0.188014,-0.706665,2.120000
-0.216274,-0.706333,2.160000
-0.244519,-0.705842,2.200000
-0.272739,-0.705148,2.240000
-0.300927,-0.704201,2.280000
-0.329071,-0.702949,2.320000
-0.357158,-0.701330,2.360000
-0.385172,-0.699282,2.400000
-0.413094,-0.696735,2.440000
-0.440903,-0.693617,2.480000
-0.468575,-0.689852,2.520000
-0.496081,-0.685360,2.560000
-0.523393,-0.680058,2.600000
-0.550474,-0.673861,2.640000
-0.577288,-0.666684,2.680000
-0.603795,-0.658441,2.720000
-0.629948,-0.649046,2.760000
-0.655702,-0.638415,2.800000
-0.681004,-0.626467,2.840000
-0.705801,-0.613124,2.880000
-0.730034,-0.598316,2.920000
-0.753645,-0.581978,2.960000
-0.776572,-0.564054,3.000000
-0.798748,-0.544499,3.040000
-0.820109,-0.523277,3.080000
-0.840588,-0.500367,3.120000
-0.860116,-0.475761,3.160000
-0.878626,-0.449467,3.200000
-0.896051,-0.421509,3.240000
-0.912325,-0.391928,3.280000
-0.927384,-0.360782,3.320000
-0.941168,-0.328149,3.360000
-0.953618,-0.294122,3.400000
-0.964681,-0.258812,3.440000
-0.974307,-0.222348,3.480000
-0.982455,-0.184872,3.520000
-0.989086,-0.146540,3.560000
-0.994169,-0.107520,3.600000
-0.997681,-0.067992,3.640000
-0.999604,-0.028138,3.680000
-0.999930,0.011850,3.720000
-0.998657,0.051781,3.760000
-0.995791,0.091464,3.800000
-0.991345,0.130713,3.840000
-0.985342,0.169346,3.880000
-0.977808,0.207191,3.920000
-0.968779,0.244086,3.960000
-0.958296,0.279882,4.000000
-0.946405,0.314446,4.040000
-0.933158,0.347660,4.080000
-0.918612,0.379422,4.120000
-0.902825,0.409648,4.160000
-0.885861,0.438274,4.200000
-0.867785,0.465249,4.240000
-0.848664,0.490545,4.280000
-0.828564,0.514146,4.320000
-0.807555,0.536054,4.360000
-0.785702,0.556285,4.400000
-0.763074,0.574869,4.440000
-0.739734,0.591847,4.480000
-0.715747,0.607271,4.520000
-0.691172,0.621202,4.560000
-0.666070,0.633710,4.600000
-0.640494,0.644868,4.640000
-0.614497,0.654757,4.680000
-0.588129,0.663459,4.720000
-0.561435,0.671060,4.760000
-0.534458,0.677646,4.800000
-0.507236,0.683302,4.840000
-0.479805,0.688114,4.880000
-0.452197,0.692166,4.920000
-0.424441,0.695538,4.960000
-0.396562,0.698308,5.000000
-0.368583,0.700551,5.040000
-0.340524,0.702337,5.080000
-0.312401,0.703731,5.120000
-0.284230,0.704796,5.160000
-0.256021,0.705586,5.200000
-0.227786,0.706154,5.240000
-0.199531,0.706546,5.280000
-0.171264,0.706803,5.320000
-0.142988,0.706959,5.360000
-0.114708,0.707046,5.400000
-0.086425,0.707087,5.440000
-0.058141,0.707103,5.480000
-0.029857,0.707106,5.520000
-0.001573,0.707107,5.560000
0.026711,0.707107,5.600000
0.054996,0.707104,5.640000
0.083279,0.707090,5.680000
0.111562,0.707052,5.720000
0.139843,0.706972,5.760000
0.168119,0.706824,5.800000
0.196388,0.706581,5.840000
0.224644,0.706206,5.880000
0.252882,0.705659,5.920000
0.281094,0.704896,5.960000
0.309270,0.703865,6.000000
0.337399,0.702510,6.040000
0.365466,0.700771,6.080000
0.393454,0.698582,6.120000
0.421345,0.695874,6.160000
0.449116,0.692573,6.200000
0.476742,0.688601,6.240000
0.504194,0.683877,6.280000
0.531441,0.678319,6.320000
0.558448,0.671841,6.360000
0.585175,0.664357,6.400000
0.611582,0.655782,6.440000
0.637622,0.646029,6.480000
0.663247,0.635016,6.520000
0.688405,0.622662,6.560000
0.713041,0.608893,6.600000
0.737097,0.593638,6.640000
0.760512,0.576836,6.680000
0.783223,0.558433,6.720000
0.805165,0.538387,6.760000
0.826271,0.516666,6.800000
0.846475,0.493254,6.840000
0.865709,0.468146,6.880000
