x,y,vx,vy,t
0.000000,0.000000,86.602540,50.000000,0.000000
12.027572,6.934374,85.227415,49.067183,0.140000
23.865726,13.740095,83.896209,48.161873,0.280000
35.520464,20.420922,82.606864,47.282781,0.420000
46.997510,26.980440,81.357448,46.428695,0.560000
58.302328,33.422070,80.146148,45.598478,0.700000
69.440131,39.749077,78.971257,44.791059,0.840000
80.415904,45.964583,77.831171,44.005433,0.980000
91.234412,52.071571,76.724375,43.240651,1.120000
101.900215,58.072896,75.649443,42.495817,1.260000
112.417680,63.971292,74.605030,41.770088,1.400000
122.790988,69.769375,73.589864,41.062666,1.540000
133.024150,75.469657,72.602742,40.372797,1.680000
143.121012,81.074544,71.642529,39.699769,1.820000
153.085264,86.586347,70.708147,39.042906,1.960000
162.920451,92.007282,69.798577,38.401570,2.100000
172.629978,97.339482,68.912851,37.775152,2.240000
182.217119,102.584994,68.050054,37.163078,2.380000
191.685022,107.745788,67.209312,36.564803,2.520000
201.036717,112.823759,66.389799,35.979805,2.660000
210.275120,117.820730,65.590729,35.407593,2.800000
219.403040,122.738459,64.811353,34.847697,2.940000
228.423184,127.578639,64.050958,34.299670,3.080000
237.338162,132.342901,63.308867,33.763087,3.220000
246.150491,137.032818,62.584432,33.237541,3.360000
254.862598,141.649909,61.877037,32.722646,3.500000
263.476829,146.195639,61.186094,32.218034,3.640000
271.995446,150.671422,60.511041,31.723352,3.780000
280.420637,155.078625,59.851342,31.238263,3.920000
288.754514,159.418569,59.206484,30.762446,4.060000
296.999122,163.692529,58.575979,30.295594,4.200000
305.156436,167.901740,57.959355,29.837412,4.340000
313.228368,172.047395,57.356166,29.387619,4.480000
321.216769,176.130652,56.765981,28.945946,4.620000
329.123431,180.152627,56.188389,28.512134,4.760000
336.950088,184.114405,55.622996,28.085936,4.900000
344.698421,188.017033,55.069424,27.667115,5.040000
352.370061,191.861530,54.527308,27.255443,5.180000
359.966586,195.648881,53.996303,26.850702,5.320000
367.489529,199.380041,53.476073,26.452682,5.460000
374.940374,203.055936,52.966297,26.061181,5.600000
382.320565,206.677467,52.466667,25.676007,5.740000
389.631501,210.245504,51.976886,25.296972,5.880000
396.874540,213.760897,51.496670,24.923899,6.020000
404.051002,217.224466,51.025743,24.556615,6.160000
411.162169,220.637012,50.563843,24.194955,6.300000
418.209287,223.999309,50.110714,23.838759,6.440000
425.193567,227.312112,49.666112,23.487873,6.580000
432.116185,230.576154,49.229802,23.142150,6.720000
438.978288,233.792148,48.801556,22.801447,6.860000
445.780987,236.960787,48.381155,22.465627,7.000000
452.525367,240.082745,47.968388,22.134557,7.140000
459.212482,243.158679,47.563051,21.808110,7.280000
465.843359,246.189226,47.164947,21.486161,7.420000
472.418996,249.175008,46.773887,21.168592,7.560000
478.940367,252.116631,46.389687,20.855289,7.700000
485.408420,255.014683,46.012170,20.546139,7.840000
491.824079,257.869739,45.641165,20.241036,7.980000
498.188243,260.682357,45.276506,19.939875,8.120000
504.501789,263.453083,44.918034,19.642558,8.260000
510.765574,266.182448,44.565594,19.348986,8.400000
516.980430,268.870969,44.219037,19.059065,8.540000
523.147172,271.519152,43.878217,18.772706,8.680000
529.266592,274.127489,43.542995,18.489821,8.820000
535.339465,276.696460,43.213235,18.210324,8.960000
541.366547,279.226534,42.888806,17.934133,9.100000
547.348574,281.718168,42.569580,17.661168,9.240000
553.286266,284.171808,42.255434,17.391352,9.380000
559.180327,286.587890,41.946249,17.124611,9.520000
565.031442,288.966839,41.641908,16.860871,9.660000
570.840282,291.309071,41.342301,16.600063,9.800000
576.607502,293.614991,41.047317,16.342118,9.940000
582.333741,295.884995,40.756850,16.086971,10.080000
588.019626,298.119470,40.470799,15.834556,10.220000
593.665767,300.318795,40.189065,15.584812,10.360000
599.272761,302.483339,39.911549,15.337678,10.500000
604.841193,304.613464,39.638159,15.093096,10.640000
610.371634,306.709522,39.368803,14.851008,10.780000
615.864642,308.771860,39.103393,14.611360,10.920000
621.320764,310.800815,38.841842,14.374097,11.060000
626.740534,312.796716,38.584068,14.139168,11.200000
632.124475,314.759888,38.329989,13.906521,11.340000
637.473099,316.690646,38.079525,13.676108,11.480000
642.786907,318.589300,37.832601,13.447880,11.620000
648.066389,320.456153,37.589141,13.221791,11.760000
653.312025,322.291499,37.349073,12.997795,11.900000
658.524285,324.095631,37.112326,12.775848,12.040000
663.703628,325.868831,36.878830,12.555908,12.180000
668.850506,327.611377,36.648520,12.337933,12.320000
673.965359,329.323542,36.421329,12.121882,12.460000
679.048621,331.005592,36.197195,11.907715,12.600000
684.100713,332.657788,35.976054,11.695395,12.740000
689.122053,334.280387,35.757848,11.484883,12.880000
694.113045,335.873638,35.542517,11.276143,13.020000
699.074089,337.437788,35.330003,11.069140,13.160000
704.005575,338.973077,35.120252,10.863839,13.300000
708.907886,340.479740,34.913208,10.660206,13.440000
713.781397,341.958011,34.708819,10.458209,13.580000
718.626476,343.408114,34.507032,10.257815,13.720000
723.443485,344.830272,34.307798,10.058993,13.860000
728.232777,346.224704,34.111067,9.861713,14.000000
732.994698,347.591622,33.916791,9.665945,14.140000
737.729590,348.931238,33.724923,9.471661,14.280000
742.437787,350.243755,33.535417,9.278831,14.420000
747.119615,351.529377,33.348229,9.087430,14.560000
751.775397,352.788301,33.163315,8.897428,14.700000
756.405448,354.020721,32.980633,8.708802,14.840000
761.010077,355.226828,32.800140,8.521524,14.980000
765.589587,356.406810,32.621796,8.335571,15.120000
770.144278,357.560849,32.445562,8.150917,15.260000
774.674442,358.689126,32.271399,7.967540,15.400000
779.180365,359.791818,32.099268,7.785416,15.540000
783.662330,360.869100,31.929133,7.604522,15.680000
788.120613,361.921141,31.760957,7.424836,15.820000
792.555487,362.948109,31.594705,7.246337,15.960000
796.967219,363.950170,31.430343,7.069004,16.100000
801.356070,364.927484,31.267836,6.892817,16.240000
805.722298,365.880211,31.107151,6.717754,16.380000
810.066156,366.808507,30.948257,6.543798,16.520000
814.387892,367.712525,30.791120,6.370928,16.660000
818.687750,368.592416,30.635711,6.199126,16.800000
822.965970,369.448329,30.481999,6.028373,16.940000
827.222788,370.280409,30.329953,5.858652,17.080000
831.458434,371.088799,30.179546,5.689946,17.220000
835.673136,371.873641,30.030748,5.522238,17.360000
839.867117,372.635072,29.883532,5.355510,17.500000
844.040597,373.373228,29.737870,5.189746,17.640000
848.193792,374.088245,29.593735,5.024932,17.780000
852.326913,374.780253,29.451102,4.861050,17.920000
856.440169,375.449382,29.309944,4.698087,18.060000
860.533765,376.095759,29.170237,4.536027,18.200000
864.607902,376.719511,29.031956,4.374856,18.340000
868.662778,377.320760,28.895076,4.214559,18.480000
872.698588,377.899627,28.759575,4.055124,18.620000
876.715522,378.456234,28.625428,3.896535,18.760000
880.713770,378.990696,28.492613,3.738781,18.900000
884.693515,379.503131,28.361109,3.581848,19.040000
888.654940,379.993652,28.230891,3.425724,19.180000
892.598224,380.462371,28.101941,3.270396,19.320000
896.523542,380.909399,27.974236,3.115852,19.460000
900.431067,381.334845,27.847755,2.962081,19.600000
904.320969,381.738817,27.722479,2.809070,19.740000
908.193416,382.121420,27.598388,2.656810,19.880000
912.048572,382.482758,27.475462,2.505288,20.020000
915.886599,382.822935,27.353682,2.354494,20.160000
919.707656,383.142050,27.233029,2.204417,20.300000
923.511899,383.440204,27.113485,2.055048,20.440000
927.299483,383.717496,26.995033,1.906376,20.580000
931.070558,383.974022,26.877653,1.758391,20.720000
934.825275,384.209877,26.761328,1.611083,20.860000
938.563779,384.425156,26.646043,1.464445,21.000000
942.286214,384.619952,26.531779,1.318465,21.140000
945.992724,384.794357,26.418520,1.173135,21.280000
949.683446,384.948460,26.306251,1.028447,21.420000
953.358519,385.082351,26.194955,0.884392,21.560000
957.018078,385.196119,26.084616,0.740962,21.700000
960.662256,385.289850,25.975219,0.598148,21.840000
964.291183,385.363629,25.866750,0.455943,21.980000
967.904988,385.417542,25.759193,0.314338,22.120000
971.503799,385.451671,25.652534,0.173326,22.260000
975.087739,385.466100,25.546758,0.032900,22.400000
978.656932,385.460910,25.441852,-0.106948,22.540000
982.211498,385.436182,25.337802,-0.246224,22.680000
985.751555,385.391994,25.234593,-0.384936,22.820000
989.277222,385.328426,25.132213,-0.523090,22.960000
992.788613,385.245554,25.030649,-0.660693,23.100000
996.285842,385.143457,24.929888,-0.797752,23.240000
999.769019,385.022209,24.829917,-0.934272,23.380000
1003.238255,384.881885,24.730723,-1.070260,23.520000
1006.693657,384.722561,24.632295,-1.205722,23.660000
1010.135333,384.544308,24.534621,-1.340663,23.800000
1013.563386,384.347199,24.437687,-1.475090,23.940000
1016.977919,384.131306,24.341484,-1.609007,24.080000
1020.379035,383.896700,24.245999,-1.742421,24.220000
1023.766832,383.643452,24.151222,-1.875336,24.360000
1027.141409,383.371629,24.057141,-2.007758,24.500000
1030.502863,383.081302,23.963744,-2.139692,24.640000
