xpoints,vpoints,tpoints
0.964952,0.262414,0.000000
0.971215,0.238604,0.025000
0.976880,0.214542,0.050000
0.981940,0.190262,0.075000
0.986391,0.165796,0.100000
0.990229,0.141176,0.125000
0.993449,0.116431,0.150000
0.996050,0.091588,0.175000
0.998028,0.066673,0.200000
0.999383,0.041707,0.225000
1.000113,0.016713,0.250000
1.000218,-0.008293,0.275000
0.999699,-0.033293,0.300000
0.998554,-0.058274,0.325000
0.996785,-0.083226,0.350000
0.994393,-0.108138,0.375000
0.991379,-0.133004,0.400000
0.987743,-0.157820,0.425000
0.983488,-0.182583,0.450000
0.978614,-0.207294,0.475000
0.973124,-0.231953,0.500000
0.967017,-0.256566,0.525000
0.960296,-0.281139,0.550000
0.952961,-0.305678,0.575000
0.945012,-0.330194,0.600000
0.936451,-0.354699,0.625000
0.927277,-0.379204,0.650000
0.917491,-0.403725,0.675000
0.907091,-0.428278,0.700000
0.896076,-0.452880,0.725000
0.884446,-0.477550,0.750000
0.872198,-0.502309,0.775000
0.859330,-0.527177,0.800000
0.845838,-0.552177,0.825000
0.831720,-0.577333,0.850000
0.816970,-0.602669,0.875000
0.801584,-0.628211,0.900000
0.785557,-0.653985,0.925000
0.768883,-0.680019,0.950000
0.751554,-0.706339,0.975000
0.733563,-0.732975,1.000000
0.714903,-0.759954,1.025000
0.695563,-0.787307,1.050000
0.675534,-0.815062,1.075000
0.654806,-0.843249,1.100000
0.633368,-0.871897,1.125000
0.611207,-0.901034,1.150000
0.588312,-0.930688,1.175000
0.564668,-0.960886,1.200000
0.540262,-0.991655,1.225000
0.515080,-1.023018,1.250000
0.489106,-1.054996,1.275000
0.462325,-1.087609,1.300000
0.434721,-1.120874,1.325000
0.406276,-1.154801,1.350000
0.376975,-1.189399,1.375000
0.346800,-1.224668,1.400000
0.315736,-1.260605,1.425000
0.283765,-1.297196,1.450000
0.250871,-1.334422,1.475000
0.217039,-1.372250,1.500000
0.182254,-1.410638,1.525000
0.146503,-1.449531,1.550000
0.109774,-1.488858,1.575000
0.072057,-1.528533,1.600000
0.033345,-1.568453,1.625000
